target,merge_step,piece,readable,rank,byte_length,leverage,leverage_ci_low,leverage_ci_high,is_gap
between,7,we,we,439,2,0.27144033074378965,0.17240076948313102,0.3704798920044483,False
between,8,▁bet,bet,478,4,0.3520370638370514,0.2426707842422217,0.46140334343188116,False
between,9,ween,ween,815,4,0.8382825469970703,0.768284108793672,0.9082809852004685,False
between,10,▁between,between,867,8,1.0518808960914612,0.9723342372358756,1.1314275549470467,False
child,5,il,il,80,2,0.5600789725780487,0.4562912475209357,0.6638666976351618,False
child,6,▁ch,ch,178,3,0.6173573684692383,0.5247158209719112,0.7099989159665654,False
child,7,ild,ild,380,3,0.45977719068527223,0.38005503354655557,0.5394993478239889,False
child,8,▁child,child,768,6,1.0472761464118958,0.9224326929233241,1.1721195999004674,False
Star,4,ar,ar,30,2,0.682148665189743,0.5900907750069737,0.7742065553725124,False
Star,5,▁St,St,330,3,0.8043777596950531,0.6706926483512341,0.9380628710388721,False
Star,6,▁Star,Star,4479,5,1.0466892564296721,0.9220534897433565,1.1713250231159877,False
refer,4,er,er,7,2,0.6986088681221009,0.5874830148906077,0.809734721353594,False
refer,5,▁re,re,49,3,0.5077640962600708,0.42108778965250077,0.5944404028676409,False
refer,6,▁ref,ref,992,4,0.45080745935440064,0.37527183549358223,0.526343083215219,False
refer,7,▁refer,refer,4387,6,1.0465094017982484,0.913251838182952,1.1797669654135448,False
anal,4,al,al,26,2,0.7487594854831695,0.6630563506689,0.834462620297439,False
anal,5,▁an,an,98,3,0.5145696306228638,0.4140246806853104,0.6151145805604171,False
anal,6,▁anal,anal,1571,5,1.045409859418869,0.912502873821143,1.1783168450165948,False
There,4,he,he,3,2,0.4626316475868225,0.3870157790438804,0.5382475161297646,False
There,5,re,re,4,2,0.5079013919830322,0.4215460078645935,0.5942567761014709,False
There,6,▁The,The,92,4,0.5495621454715729,0.444223608307844,0.6549006826353018,False
There,7,▁There,There,719,6,1.0401496601104736,0.9662788982569228,1.1140204219640244,False
San,3,an,an,24,2,0.5156482374668121,0.41458640089183973,0.6167100740417845,False
San,4,▁San,San,2745,4,1.0339063000679016,0.9122533846809631,1.1555592154548402,False
comple,6,le,le,35,2,0.6050898396968841,0.509820283301559,0.7003593960922092,False
comple,7,om,om,37,2,0.5747706294059753,0.5017177208512015,0.6478235379607492,False
comple,8,▁com,com,120,4,0.48425463914871214,0.3799907524248316,0.5885185258725927,False
comple,9,▁comp,comp,237,5,0.5469589984416962,0.45105804143887335,0.6428599554445189,False
comple,10,▁comple,comple,822,7,1.0335095870494841,0.9405582850668144,1.126460889032154,False
hel,3,he,he,3,2,0.4626316475868225,0.3870157790438804,0.5382475161297646,False
hel,4,hel,hel,2576,3,1.0330407917499542,0.9108086984863902,1.1552728850135183,False
cir,3,ir,ir,88,2,0.4872853970527649,0.4030804499156686,0.5714903441898612,False
cir,4,▁cir,cir,2126,4,1.030416991710663,0.9121805488431229,1.148653434578203,False
With,4,it,it,14,2,0.41764426708221436,0.3654449291841125,0.46984360498031624,False
With,5,ith,ith,82,3,0.43220686197280883,0.35405450086228274,0.5103592230833349,False
With,6,▁With,With,1061,5,1.0295110309123994,0.9146666489572849,1.144355412867514,False
Please,5,le,le,35,2,0.6050898396968841,0.509820283301559,0.7003593960922092,False
Please,6,as,as,38,2,0.7600769603252411,0.6626217110102137,0.8575322096402684,False
Please,7,ase,ase,296,3,0.4060855782032013,0.33612871885670437,0.4760424375496982,False
Please,8,lease,lease,845,5,0.6044023585319519,0.5262247791720064,0.6825799378918974,False
Please,9,▁Please,Please,2018,7,1.0294698433578013,0.947960765874759,1.1109789208408436,False
histor,6,or,or,15,2,0.47793734312057495,0.38528237566689727,0.5705923105742526,False
histor,7,is,is,18,2,0.7064654660224915,0.5919413565099657,0.8209895755350173,False
histor,8,ist,ist,140,3,0.42617464423179624,0.30997322089297114,0.5423760675706213,False
histor,9,▁hist,hist,1304,5,0.7808426636457443,0.6669422300749452,0.8947430972165433,False
histor,10,▁histor,histor,3544,7,1.0264521741867065,0.9266006946821596,1.1263036536912534,False
Col,3,ol,ol,86,2,0.6847121894359589,0.5712907270948803,0.7981336517770375,False
Col,4,▁Col,Col,1186,4,1.0249406519532203,0.9207613625020558,1.1291199414043847,False
